hashtag,frequency,category,sentiment
dance,27,Other,Neutral
cinema,27,Other,Neutral
nailart,27,Other,Neutral
youtube,27,Other,Neutral
discipline,27,Other,Neutral
mountain,27,Other,Neutral
fypシ❤️💞❤️,27,Other,Neutral
carmods,27,Other,Neutral
photographer,27,Other,Neutral
automotive,26,Other,Neutral
nationalpark,26,Other,Neutral
اكسبلور,26,Other,Neutral
innovation,26,Other,Neutral
vehicle,26,Other,Neutral
garden,26,Other,Neutral
illustration,26,Other,Neutral
artificialintelligence,25,Other,Neutral
netflix,25,Other,Neutral
goals,25,Other,Neutral
streamer,25,Other,Neutral
healing,25,Other,Neutral
new,25,Other,Positive
sketch,25,Other,Neutral
contentcreator,25,Other,Neutral
cargram,25,Other,Neutral
winter,25,Other,Neutral
model,24,Other,Neutral
coding,24,Technology,Neutral
combatsports,24,Other,Neutral
gamerlife,24,Other,Neutral
followforfollowback,24,Other,Neutral
3d,24,Other,Neutral
kids,24,Other,Neutral
instareels,24,Other,Neutral
flowers,24,Other,Neutral
reelsindia,24,Other,Neutral
explorar,24,Other,Neutral
gamingsetup,24,Other,Neutral
girl,23,Other,Neutral
bmw,23,Other,Neutral
mood,23,Other,Neutral
carstagram,23,Other,Neutral
reelsviral,22,Other,Neutral
funnyreels,22,Other,Neutral
weightloss,22,Other,Neutral
mountains,22,Other,Neutral
comment,22,Other,Neutral
boxing,22,Other,Neutral
bikelife,22,Other,Neutral
healthylifestyle,22,Fitness,Neutral
picoftheday,22,Other,Neutral
python,22,Technology,Neutral
sad,22,Other,Negative
artwork,22,Other,Neutral
smallbusiness,22,Other,Neutral
gaminglife,22,Other,Neutral
sport,22,Other,Neutral
momlife,22,Other,Neutral
parati,21,Other,Neutral
nostalgia,21,Other,Neutral
film,21,Other,Neutral
tutorial,21,Other,Neutral
macchine,21,Other,Neutral
selfcare,21,Other,Neutral
decoration,21,Home & Interior,Neutral
travelphotography,21,Travel & Nature,Neutral
iphone,21,Other,Neutral
dailyvlog,21,Other,Neutral
venditaauto,21,Other,Neutral
restaurantreviews,21,Other,Neutral
memesdaily,21,Other,Neutral
conceptcar,21,Other,Neutral
motori,21,Other,Neutral
passioneauto,21,Other,Neutral
car,21,Other,Neutral
labycar,21,Other,Neutral
likes,21,Other,Neutral
caroftheday,21,Other,Neutral
summer,21,Other,Neutral
luxury,20,Other,Neutral
couplegoals,20,Other,Neutral
hairgoals,20,Other,Neutral
haircare,20,Other,Neutral
share,20,Other,Neutral
funnymeme,20,Other,Neutral
haircolor,20,Other,Neutral
spirituality,20,Other,Neutral
likeforlikes,20,Other,Neutral
investment,20,Other,Neutral
christmastime,20,Other,Neutral
dog,20,Other,Neutral
bookstagram,20,Other,Neutral
happiness,20,Other,Positive
holiday,19,Other,Neutral
growth,19,Other,Neutral
landscape,19,Other,Neutral
pets,19,Other,Neutral
selfimprovement,19,Other,Neutral
tamil,19,Other,Neutral
gymrat,19,Fitness,Neutral
